GeoID,Name,State,County,EnergyBurden_perc,eBurden_percE,eBurden_percG,eBurden_percO,avgAnnuCost,EavgAnnuCost,GavgAnnuCost,OavgAnnuCost,t_Households,Income_house,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
8001007801,"Census Tract 78.01, Adams County",Colorado,Adams County,3,2,1,0,1200,876,324,0,1288,42952,18,2,26,0,9,20,14,10,36,18,35,11
8001007802,"Census Tract 78.02, Adams County",Colorado,Adams County,2,2,1,0,1220,876,343,1,1529,57927,19,2,4,1,12,14,32,16,30,41,19,10
8001007900,"Census Tract 79, Adams County",Colorado,Adams County,3,1,2,0,2154,1041,1111,2,2222,73016,17,1,2,0,18,25,16,21,25,26,29,21
8001008000,"Census Tract 80, Adams County",Colorado,Adams County,2,1,1,0,2279,1169,1108,2,1922,93229,7,1,2,0,23,31,14,22,22,24,25,29
8001008100,"Census Tract 81, Adams County",Colorado,Adams County,1,1,0,0,784,552,232,0,806,58257,3,7,10,0,4,56,12,7,3,0,21,76
8001008200,"Census Tract 82, Adams County",Colorado,Adams County,2,1,1,0,2641,1493,1140,8,1651,110666,13,0,3,0,13,23,15,32,15,35,26,24
8001008308,"Census Tract 83.08, Adams County",Colorado,Adams County,3,2,1,0,1905,1124,774,7,2096,68518,16,0,4,0,19,16,14,31,31,38,19,13
8001008309,"Census Tract 83.09, Adams County",Colorado,Adams County,3,2,1,0,2084,1127,941,16,1246,70294,8,2,3,0,21,23,20,24,36,33,26,5
8001008354,"Census Tract 83.54, Adams County",Colorado,Adams County,2,1,1,0,2267,1268,936,63,1517,144620,40,1,3,0,5,20,15,16,7,33,22,38
8001008355,"Census Tract 83.55, Adams County",Colorado,Adams County,3,2,1,0,2352,1271,1055,26,1828,84449,6,1,5,0,23,38,15,12,4,31,49,16
8001008401,"Census Tract 84.01, Adams County",Colorado,Adams County,3,1,1,0,3148,1628,1311,209,1935,116975,1,0,1,0,7,76,9,6,10,38,30,23
8001008402,"Census Tract 84.02, Adams County",Colorado,Adams County,3,1,1,0,4128,1813,2169,146,1669,146130,2,0,0,0,4,71,15,9,1,28,39,31
8001008505,"Census Tract 85.05, Adams County",Colorado,Adams County,2,1,1,0,2055,1158,888,9,2262,100938,4,1,1,0,15,60,12,7,3,34,36,27
8001008506,"Census Tract 85.06, Adams County",Colorado,Adams County,2,1,1,0,1227,832,394,1,2885,68971,3,2,2,1,16,56,14,5,11,34,36,19
8001008507,"Census Tract 85.07, Adams County",Colorado,Adams County,2,1,1,0,1886,1117,760,9,2117,106641,4,0,0,0,5,65,12,14,1,48,30,20
8001008508,"Census Tract 85.08, Adams County",Colorado,Adams County,2,1,1,0,2047,1180,859,8,1836,98498,1,3,2,0,10,60,16,8,16,29,32,23
8001008524,"Census Tract 85.24, Adams County",Colorado,Adams County,1,1,1,0,2336,1374,949,13,3029,156711,3,1,12,0,11,59,10,4,7,18,32,43
8001008526,"Census Tract 85.26, Adams County",Colorado,Adams County,2,1,1,0,2020,1153,837,30,2754,130895,0,0,8,0,10,69,9,3,3,17,30,51
8001008533,"Census Tract 85.33, Adams County",Colorado,Adams County,2,1,1,0,1838,1116,719,3,3154,95573,3,1,4,0,14,50,19,10,5,20,37,38
8001008534,"Census Tract 85.34, Adams County",Colorado,Adams County,2,1,1,0,2426,1524,891,11,1491,119359,0,0,3,0,23,51,15,7,8,40,31,22
8001008535,"Census Tract 85.35, Adams County",Colorado,Adams County,2,1,1,0,2018,1147,865,6,1688,113584,0,1,1,0,17,60,17,4,6,36,32,26
8001008536,"Census Tract 85.36, Adams County",Colorado,Adams County,1,1,1,0,2244,1264,974,6,1604,152765,1,0,7,0,14,56,12,10,10,17,28,44
8001008538,"Census Tract 85.38, Adams County",Colorado,Adams County,1,1,1,0,2307,1333,969,5,3655,158084,9,2,2,0,13,56,12,8,8,16,33,43
8001008540,"Census Tract 85.40, Adams County",Colorado,Adams County,1,1,1,0,2296,1316,973,7,2935,164119,0,0,8,0,9,57,17,9,2,18,39,41
8001008544,"Census Tract 85.44, Adams County",Colorado,Adams County,1,1,1,0,2221,1269,941,11,1807,157428,1,0,9,0,10,63,13,3,2,14,27,58
8001008545,"Census Tract 85.45, Adams County",Colorado,Adams County,2,1,1,0,2286,1290,989,7,2078,140524,0,1,2,0,2,76,14,5,4,17,31,49
8001008546,"Census Tract 85.46, Adams County",Colorado,Adams County,2,1,1,0,2060,1179,871,10,1434,116382,0,2,9,0,20,53,6,10,7,28,33,31
